index,address_id,full_address,street_number,street_name,state,city
0,1,4 Northfield Road,4,Northfield Road,CA,Los Angeles
1,2,51093 Meadow Valley Lane,51093,Meadow Valley Lane,CA,Los Angeles
2,3,02 Donald Road,2,Donald Road,CA,Los Angeles
3,4,304 Bayside Parkway,304,Bayside Parkway,CA,Los Angeles
4,5,8436 High Crossing Alley,8436,High Crossing Alley,CA,Los Angeles
5,6,71 6th Point,71,6th Point,CA,Los Angeles
6,7,3 Ruskin Center,3,Ruskin Center,CA,Los Angeles
7,8,37612 Morningstar Lane,37612,Morningstar Lane,CA,Los Angeles
8,9,22217 Michigan Crossing,22217,Michigan Crossing,CA,Los Angeles
9,10,28 Lighthouse Bay Street,28,Lighthouse Bay Street,CA,Los Angeles
10,11,21 Granby Crossing,21,Granby Crossing,CA,Los Angeles
11,12,3119 Superior Point,3119,Superior Point,CA,Los Angeles
12,13,61 Kingsford Avenue,61,Kingsford Avenue,CA,Los Angeles
13,14,701 Prairie Rose Lane,701,Prairie Rose Lane,CA,Los Angeles
14,15,685 Stang Drive,685,Stang Drive,CA,Los Angeles
15,16,5894 Thompson Terrace,5894,Thompson Terrace,CA,Los Angeles
16,17,55 Sutteridge Plaza,55,Sutteridge Plaza,CA,Los Angeles
17,18,42 Columbus Drive,42,Columbus Drive,CA,Los Angeles
18,19,0628 Mandrake Terrace,628,Mandrake Terrace,CA,Los Angeles
19,20,9229 Dennis Trail,9229,Dennis Trail,CA,Los Angeles
20,21,96962 Pearson Park,96962,Pearson Park,CA,Los Angeles
21,22,7 Del Mar Pass,7,Del Mar Pass,CA,Los Angeles
22,23,502 Walton Street,502,Walton Street,CA,Los Angeles
23,24,8911 Declaration Place,8911,Declaration Place,CA,Los Angeles
24,25,7 Derek Place,7,Derek Place,CA,Los Angeles
25,26,497 Sundown Road,497,Sundown Road,CA,Los Angeles
26,27,022 Monument Plaza,22,Monument Plaza,CA,Los Angeles
27,28,07877 Carberry Way,7877,Carberry Way,CA,Los Angeles
28,29,01127 Oakridge Junction,1127,Oakridge Junction,CA,Los Angeles
29,30,2340 American Street,2340,American Street,CA,Los Angeles
30,31,258 Almo Way,258,Almo Way,CA,Los Angeles
31,32,54 Independence Plaza,54,Independence Plaza,CA,Los Angeles
32,33,4745 Logan Point,4745,Logan Point,CA,Los Angeles
33,34,0 Tony Lane,0,Tony Lane,CA,Los Angeles
34,35,1 Reindahl Court,1,Reindahl Court,CA,Los Angeles
35,36,92 Everett Pass,92,Everett Pass,CA,Los Angeles
36,37,27 Homewood Drive,27,Homewood Drive,CA,Los Angeles
37,38,53 Prentice Park,53,Prentice Park,CA,Los Angeles
38,39,6 Sundown Trail,6,Sundown Trail,CA,Los Angeles
39,40,54 Colorado Pass,54,Colorado Pass,CA,Los Angeles
40,41,845 Summerview Parkway,845,Summerview Parkway,CA,Los Angeles
41,42,46 Transport Trail,46,Transport Trail,CA,Los Angeles
42,43,58 Thompson Crossing,58,Thompson Crossing,CA,Los Angeles
