index,event_id,customer_id,event_time,event_name,event_value,additional_details,platform,campaign_id,0,1
0,1,80,1714590000000,install,0.0,,Android,0.0,0,1
1,2,977,1714590090014,install,0.0,,Android,0.0,1,2
2,4,418,1714590195615,install,0.0,,iOS,0.0,2,3
4,5,418,1714590219678,add_to_cart,0.0,,Android,,3,4
5,6,418,1714590239691,go_to_checkout,0.0,,iOS,,4,5
6,7,418,1714590251750,place_order,141.22459140841136,"{'flowers': 94.15, 'vase': 47.07, 'chocolate': 0.0, 'delivery_id': 50}",iOS,,5,6
3,8,400,1714590334797,install,0.0,,Android,0.0,6,7
4,9,911,1714590426962,install,0.0,,Android,0.0,7,8
9,10,911,1714590456201,add_to_cart,0.0,,iOS,,8,9
5,11,909,1714590534029,install,0.0,,Android,0.0,9,10
11,12,909,1714590554658,add_to_cart,0.0,,Android,,10,11
12,13,909,1714590567347,go_to_checkout,0.0,,Android,,11,12
6,15,892,1714590771098,install,0.0,,iOS,0.0,12,13
15,16,892,1714590788797,add_to_cart,0.0,,Android,,13,14
16,17,892,1714590808674,go_to_checkout,0.0,,Android,,14,15
17,18,892,1714590831074,place_order,226.3533952241998,"{'flowers': 113.18, 'vase': 75.45, 'chocolate': 37.73, 'delivery_id': 984}",Android,,15,16
7,19,936,1714591003196,install,0.0,,Android,0.0,16,17
19,20,936,1714591027016,add_to_cart,0.0,,iOS,,17,18
20,21,936,1714591056881,go_to_checkout,0.0,,Android,,18,19
8,23,890,1714591208481,install,0.0,,Android,0.0,19,20
24,25,890,1714591260036,go_to_checkout,0.0,,iOS,,20,21
25,26,890,1714591280823,place_order,100.41366183332067,"{'flowers': 66.94, 'vase': 33.47, 'chocolate': 0.0, 'delivery_id': 367}",iOS,,21,22
10,28,534,1714591482265,install,0.0,,Android,0.0,22,23
28,29,534,1714591502537,add_to_cart,0.0,,Android,,23,24
29,30,534,1714591531471,go_to_checkout,0.0,,iOS,,24,25
