event_id,event_time,campaign_id,campaign_name,c_name,priority,cost
1,1714590000000,0,instagram_ads_0_8c1fdf7cb0,instagram_ads_,2,156.2060288707333
2,1714590000000,1,friends_referrals_1_9b24ce4c65,friends_referrals_,1,135.8545292671363
3,1714590000000,2,google_search_2_1f8ef42073,google_search_,3,140.41657834455765
4,1714590000000,15,facebook_ads_15_442d2b459c,facebook_ads_,4,166.5080020718761
5,1714593600000,0,instagram_ads_0_8c1fdf7cb0,instagram_ads_,2,131.24285421399173
6,1714593600000,1,friends_referrals_1_9b24ce4c65,friends_referrals_,1,114.49756283095309
7,1714593600000,2,google_search_2_1f8ef42073,google_search_,3,98.90662178800383
8,1714593600000,15,facebook_ads_15_442d2b459c,facebook_ads_,4,174.57836196743045
9,1714597200000,0,instagram_ads_0_8c1fdf7cb0,instagram_ads_,2,123.24358592048756
10,1714597200000,1,friends_referrals_1_9b24ce4c65,friends_referrals_,1,85.84420319954019
11,1714597200000,2,google_search_2_1f8ef42073,google_search_,3,160.46549751536435
12,1714597200000,15,facebook_ads_15_442d2b459c,facebook_ads_,4,161.96943378288768
13,1714600800000,1,friends_referrals_1_9b24ce4c65,friends_referrals_,1,126.61322189249603
14,1714600800000,2,google_search_2_1f8ef42073,google_search_,3,86.25065644603147
15,1714600800000,15,facebook_ads_15_442d2b459c,facebook_ads_,4,171.148193646356
16,1714604400000,1,friends_referrals_1_9b24ce4c65,friends_referrals_,1,80.16340614710512
17,1714604400000,2,google_search_2_1f8ef42073,google_search_,3,123.61017075459262
18,1714604400000,15,facebook_ads_15_442d2b459c,facebook_ads_,4,98.393597594892
19,1714608000000,1,friends_referrals_1_9b24ce4c65,friends_referrals_,1,106.67593960306613
20,1714608000000,2,google_search_2_1f8ef42073,google_search_,3,178.05107032231984
21,1714608000000,15,facebook_ads_15_442d2b459c,facebook_ads_,4,109.75608626532068
22,1714611600000,1,friends_referrals_1_9b24ce4c65,friends_referrals_,1,133.4227290711114
23,1714615200000,1,friends_referrals_1_9b24ce4c65,friends_referrals_,1,188.03699327454402
24,1714618800000,1,friends_referrals_1_9b24ce4c65,friends_referrals_,1,142.13910011699522
25,1714622400000,1,friends_referrals_1_9b24ce4c65,friends_referrals_,1,156.54937140910823
26,1714626000000,1,friends_referrals_1_9b24ce4c65,friends_referrals_,1,143.18264309743927
27,1714629600000,1,friends_referrals_1_9b24ce4c65,friends_referrals_,1,167.330352727871
28,1714629600000,4,friends_referrals_4_c554b77114,friends_referrals_,1,178.7512122286136
29,1714633200000,1,friends_referrals_1_9b24ce4c65,friends_referrals_,1,82.37216865666169
30,1714633200000,4,friends_referrals_4_c554b77114,friends_referrals_,1,95.5328617635464
31,1714636800000,4,friends_referrals_4_c554b77114,friends_referrals_,1,149.60728101082412
32,1714636800000,5,google_search_5_43e7d9374c,google_search_,3,179.23560866995496
33,1714636800000,30,facebook_ads_30_3411ac6aea,facebook_ads_,4,133.47565790732875
34,1714640400000,3,instagram_ads_3_3e31b541d8,instagram_ads_,2,83.17798395765925
35,1714640400000,4,friends_referrals_4_c554b77114,friends_referrals_,1,146.1142766593544
36,1714640400000,5,google_search_5_43e7d9374c,google_search_,3,94.00567054069091
37,1714640400000,30,facebook_ads_30_3411ac6aea,facebook_ads_,4,144.1696004837891
38,1714644000000,3,instagram_ads_3_3e31b541d8,instagram_ads_,2,187.06130728060992
39,1714644000000,4,friends_referrals_4_c554b77114,friends_referrals_,1,175.31685065553518
40,1714644000000,5,google_search_5_43e7d9374c,google_search_,3,137.9209080834643
41,1714644000000,30,facebook_ads_30_3411ac6aea,facebook_ads_,4,154.3535339880471
42,1714647600000,3,instagram_ads_3_3e31b541d8,instagram_ads_,2,89.60287301252632
43,1714647600000,4,friends_referrals_4_c554b77114,friends_referrals_,1,106.79644841147004
44,1714647600000,5,google_search_5_43e7d9374c,google_search_,3,136.8784473142488
45,1714647600000,30,facebook_ads_30_3411ac6aea,facebook_ads_,4,159.01994697231902
46,1714651200000,3,instagram_ads_3_3e31b541d8,instagram_ads_,2,92.20595758855937
47,1714651200000,4,friends_referrals_4_c554b77114,friends_referrals_,1,139.86663121470428
48,1714651200000,5,google_search_5_43e7d9374c,google_search_,3,127.62019006338568
49,1714651200000,30,facebook_ads_30_3411ac6aea,facebook_ads_,4,80.2615516835696
50,1714654800000,3,instagram_ads_3_3e31b541d8,instagram_ads_,2,103.00859399475127
51,1714654800000,4,friends_referrals_4_c554b77114,friends_referrals_,1,111.88285917079119
52,1714654800000,5,google_search_5_43e7d9374c,google_search_,3,179.2916715044746
53,1714654800000,30,facebook_ads_30_3411ac6aea,facebook_ads_,4,81.19993564185485
54,1714658400000,3,instagram_ads_3_3e31b541d8,instagram_ads_,2,91.34947215810065
55,1714658400000,4,friends_referrals_4_c554b77114,friends_referrals_,1,130.76251096913063
56,1714658400000,5,google_search_5_43e7d9374c,google_search_,3,152.94832098116154
57,1714658400000,30,facebook_ads_30_3411ac6aea,facebook_ads_,4,154.3483613013497
58,1714662000000,3,instagram_ads_3_3e31b541d8,instagram_ads_,2,149.94633654378526
59,1714662000000,4,friends_referrals_4_c554b77114,friends_referrals_,1,105.99772697972986
60,1714662000000,5,google_search_5_43e7d9374c,google_search_,3,120.68074966780222
61,1714662000000,30,facebook_ads_30_3411ac6aea,facebook_ads_,4,171.83317470825926
62,1714665600000,3,instagram_ads_3_3e31b541d8,instagram_ads_,2,97.63294567048243
63,1714665600000,4,friends_referrals_4_c554b77114,friends_referrals_,1,151.3224108636926
64,1714665600000,5,google_search_5_43e7d9374c,google_search_,3,101.62496838825614
65,1714665600000,30,facebook_ads_30_3411ac6aea,facebook_ads_,4,187.18164636883597
66,1714669200000,3,instagram_ads_3_3e31b541d8,instagram_ads_,2,118.15676883734774
67,1714669200000,4,friends_referrals_4_c554b77114,friends_referrals_,1,139.11655229386932
68,1714669200000,5,google_search_5_43e7d9374c,google_search_,3,173.28842249404963
69,1714669200000,30,facebook_ads_30_3411ac6aea,facebook_ads_,4,148.98222473910678
70,1714672800000,3,instagram_ads_3_3e31b541d8,instagram_ads_,2,89.91785602443282
71,1714672800000,4,friends_referrals_4_c554b77114,friends_referrals_,1,99.7629710654878
72,1714672800000,5,google_search_5_43e7d9374c,google_search_,3,181.36016888435663
73,1714672800000,30,facebook_ads_30_3411ac6aea,facebook_ads_,4,94.02719283327959
74,1714676400000,3,instagram_ads_3_3e31b541d8,instagram_ads_,2,101.60396557060427
75,1714676400000,4,friends_referrals_4_c554b77114,friends_referrals_,1,173.5469417610018
76,1714676400000,5,google_search_5_43e7d9374c,google_search_,3,80.18596575900754
77,1714676400000,11,google_search_11_56e2a09ed5,google_search_,3,185.80479623962714
78,1714676400000,30,facebook_ads_30_3411ac6aea,facebook_ads_,4,116.13603241775607
79,1714680000000,3,instagram_ads_3_3e31b541d8,instagram_ads_,2,109.26553173912852
80,1714680000000,4,friends_referrals_4_c554b77114,friends_referrals_,1,183.31404208783977
81,1714680000000,11,google_search_11_56e2a09ed5,google_search_,3,84.49566014941433
82,1714680000000,30,facebook_ads_30_3411ac6aea,facebook_ads_,4,136.13581485523093
83,1714683600000,3,instagram_ads_3_3e31b541d8,instagram_ads_,2,96.85700112532578
84,1714683600000,4,friends_referrals_4_c554b77114,friends_referrals_,1,147.9857439744108
85,1714683600000,10,friends_referrals_10_1b7ad13458,friends_referrals_,1,154.24511183686573
86,1714683600000,11,google_search_11_56e2a09ed5,google_search_,3,85.76279601989893
87,1714683600000,30,facebook_ads_30_3411ac6aea,facebook_ads_,4,163.0092595729693
88,1714687200000,3,instagram_ads_3_3e31b541d8,instagram_ads_,2,118.19738920330494
89,1714687200000,9,instagram_ads_9_2490ca8150,instagram_ads_,2,128.48926272463763
